name,type,confidence,basis_for_guess,index_letter,page_refs,index_entry,index_entry_original
Alexander,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,A,727.22.,Alexander King of Scotes maryeth the ladye Margaret daughter to Henry the third 727.22.,Alexander King of Scotes ma|ryeth the ladye Margaret daughter to Henry the third 727.22.
Alfred,person,0.94,used elsewhere as a personal name; kinship language,A,185.85.,Alfred succeedeth his brother Ecgfride in the kingdome of Northũberland. 185.85.,Alfred ſucceedeth his brother Ecgfride in the kingdome of Northũberland. 185.85.
Alfred,person,0.95,used elsewhere as a personal name,A,185.95.,"Alfred, an excellent Philosopher. 185.95.","Alfred, an excellent Philoſo|pher. 185.95."
Alferd,person,0.86,used elsewhere as a personal name,A,185. 114.,Alferd departeth this lyfe. 185. 114.,Alferd departeth this lyfe. 185. 114.
Aldiminus,uncertain,0.2,"proper name, but no clear signal",A,,"Aldiminus, looke Ealdbright.","Aldiminus, looke Ealdbright."
Allerton castle,place,0.88,place-type word in name; used elsewhere as a location,A,445.21.,"Allerton castle, made playne with the ground. 445.21.","Allerton caſtle, made playne with the ground. 445.21."
Aluredes,place,0.86,used elsewhere as a location,A,218.43.,"Aluredes diligence, in deuiding the day and night vnto seuerall purposes. 218.43.","Aluredes diligence, in deuiding the day and night vnto ſeue|rall purpoſes. 218.43."
Alureds,person,0.81,used elsewhere as a personal name,A,218.55.,"Alureds last wil, and the implosing of his goods to godlye purposes. 218.55.","Alureds laſt wil, and the imploſ|ing of his goods to godlye purpoſes. 218.55."
Alured,person,0.97,used elsewhere as a personal name,A,218. 110.,Alured obteyneth a part of the kingdome of Mercia. 218. 110.,Alured obteyneth a part of the kingdome of Mercia. 218. 110.
Aldhelme,person,0.91,described by rank/office; appointment to office,A,190.10.,Aldhelme ordeyned Byshop of Shirebourne. 190.10.,Aldhelme ordeyned Byſhop of Shirebourne. 190.10.
Alrike,person,0.91,used elsewhere as a personal name; kinship language,A,191.84.,Alrike succeedeth his brother Ethelbert in the kingdome of Kent. 191.84.,Alrike ſucceedeth his brother Ethelbert in the kingdome of Kent. 191.84.
Alrike,uncertain,0.45,mixed signals: used elsewhere as a personal name,A,191.91.,Alrike ouerthrowen in battaile by the Mercians. 191.91.,Alrike ouerthrowen in battaile by the Mercians. 191.91.
Aldwine,person,0.91,described by rank/office; holds a title over a place,A,191.99.,"Aldwine, Byshop of Lichfeild. 191.99.","Aldwine, Byſhop of Lichfeild. 191.99."
Aldwolfe,person,0.91,described by rank/office; holds a title over a place,A,191.100.,"Aldwolfe, Byshop of Rochester. 191.100.","Aldwolfe, Byſhop of Rocheſter. 191.100."
Aleria,place,0.82,contextual verb evidence,A,6.45.,Aleria called Alize in Burgogne by whom builded. 6.45.,Aleria called Alize in Burgogne by whom builded. 6.45.
Alfin,person,0.7,used elsewhere as a personal name,A,,"Alfin succeedeth Odo in ye Archbyshoprike of Canterburye, and","Alfin ſucceedeth Odo in ye Arch|byſhoprike of Canterburye, and"
Aulafe,person,0.97,used elsewhere as a personal name; kinship language,A,224.55.,"Aulafe & Godfrey, succede their father Sithrike, in the kingdome of Northumberlande. 224.55.","Aulafe & Godfrey, ſuccede their father Sithrike, in the king|dome of Northumberlande. 224.55."
Aulafe,person,0.95,used elsewhere as a personal name,A,224.59.,"Aulafe and Godfrey, making warre vppon king Adelstane are driuen out of their countrey. 224.59.","Aulafe and Godfrey, making warre vppon king Adelſtane are driuen out of their coun|trey. 224.59."
Altred,uncertain,0.45,mixed signals: weak evidence,A,196.30.,Altred succeeded Molle in the kingdome of Northumberland. 196.30.,Altred ſucceeded Molle in the kingdome of Northumber|land. 196.30.
Altred,uncertain,0.4,mixed signals: weak evidence,A,196.31.,Altred expulsed out of his kingdome. 196.31.,Altred expulſed out of his king|dome. 196.31.
Aldulfe,person,0.97,used elsewhere as a personal name; kinship language; biographical event,A,196.39.,"Aldulfe, sonne to Bosa slayne. 196.39.","Aldulfe, ſonne to Boſa ſlayne. 196.39."
Alfreda,person,0.97,used elsewhere as a personal name; kinship language,A,196 9.,Alfreda prophesieth her mother Quendreds destruction. 196 9.,Alfreda propheſieth her mother Quendreds deſtruction. 196 9.
Alfreda,person,0.84,used elsewhere as a personal name,A,197.15.,Alfreda professeth hirselfe a Nunne. 197.15.,Alfreda profeſſeth hirſelfe a Nunne. 197.15.
Algar,person,0.82,used elsewhere as a personal name,A,197.55.,"Algar falleth in loue with Friswive, and would rauish her. 197.55.","Algar falleth in loue with Friſ|wive, and would rauiſh her. 197.55."
Algar,person,0.95,used elsewhere as a personal name,A,198.56.,Algar suddeinly stroken blynde. 198.56.,Algar ſuddeinly ſtroken blynde. 198.56.
Alswold,person,0.91,described by rank/office; holds a title over a place,A,198.67.,"Alswold, king of Northumberland. 198.67.","Alſwold, king of Northumber|land. 198.67."
Alured,person,0.97,used elsewhere as a personal name; kinship language,A,211.82.,"Alured or Alfrede, succeedeth his brother Etheldred in the kingdome of West Saxons, and ouer the more part of England. 211.82.","Alured or Alfrede, ſucceedeth his brother Etheldred in the kingdome of Weſt Saxons, and ouer the more part of England. 211.82."
Alured,person,0.97,used elsewhere as a personal name; described by rank/office,A,207.28. & .211 92.,"Alured sacred king, at Rome by the Pope. 207.28. & .211 92.","Alured ſacred king, at Rome by the Pope. 207.28. & .211 92."
Alured,person,0.97,used elsewhere as a personal name,A,212.2.,Alured goeth with speede forth with an armie against the Danes. 212.2.,Alured goeth with ſpeede forth with an armie againſt the Danes. 212.2.
Alewine,person,0.8,contextual verb evidence,A,195.43.,Alewine sent Ambassador vnto Charles the great. 195.43.,Alewine ſent Ambaſſador vnto Charles the great. 195.43.
Alured,person,0.97,used elsewhere as a personal name,A,216.104.,"Alured departeth this lyfe, and is buryed at Winchester. 216.104.","Alured departeth this lyfe, and is buryed at Wincheſter. 216.104."
Aluredes,uncertain,0.42,mixed signals: used elsewhere as a location,A,216.106.,Aluredes issue. 216.106.,Aluredes iſſue. 216.106.
Alured,person,0.97,used elsewhere as a personal name,A,217.44.,Alured sendeth presentes to Rome by way of Deuotion. 217.44.,Alured ſendeth preſentes to Rome by way of Deuotion. 217.44.
Alured,person,0.97,used elsewhere as a personal name,A,217.45.,Alured sendeth presentes to the body of S. Thomas in India. 217.45.,Alured ſendeth preſentes to the body of S. Thomas in In|dia. 217.45.
Aldegate,uncertain,0.43,mixed signals: described by rank/office,A,page. 1342. col. 1. line. 52.,Aldegate and Byshops gate assaulted by Bastard Fanconbridge. page. 1342. col. 1. line. 52.,Aldegate and Byſhops gate aſ|ſaulted by Baſtard Fancon|bridge. page. 1342. col. 1. line. 52.
Alexander,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,A,743.17.,"Alexander king of Scots commeth into England to Wodstock, and doth homage there to Henry the third. 743.17.","Alexander king of Scots com|meth into England to Wod|ſtock, and doth homage there to Henry the third. 743.17."
Alwynne,person,0.88,described by rank/office; kinship language,A,262.81.,"Alwynne, concubine to Kyng Cuate, daughter to Alselme. 262.81.","Alwynne, concubine to Kyng Cuate, daughter to Alſelme. 262.81."
Alane Ecle of Britaine,person,0.96,described by rank/office; appointment to office,A,301.44.,"Alane Ecle of Britaine, created Earle of Richmonde. 301.44.","Alane Ecle of Britaine, crea|ted Earle of Richmonde. 301.44."
Alexander,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,A,303.22.,"Alexander Byshop of Lincolne, flyeth into Scotland. 303.22.","Alexander Byſhop of Lincolne, flyeth into Scotland. 303.22."
Alditha,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,227.69.,"Alditha daughter to Earle Ormus, marryed to king Aulafe. 227.69.","Alditha daughter to Earle Or|mus, marryed to king Au|lafe. 227.69."
Aldredus,person,0.91,described by rank/office; holds a title over a place,A,222.48.,Aldredus Archbyshop of Yorke. 222.48.,Aldredus Archbyſhop of Yorke. 222.48.
Albion,uncertain,0.45,mixed signals: weak evidence,A,5.25.,Albion the Giant arryueth in Britaine. 5.25.,Albion the Giant arryueth in Britaine. 5.25.
Alchfride,person,0.97,used elsewhere as a personal name; kinship language,A,175.55.,"Alchfride, sonne to Oswy. 175.55.","Alchfride, ſonne to Oſwy. 175.55."
Alectus,person,0.96,used elsewhere as a personal name; biographical event,A,82.20.,"Alectus slaine, and his armie discomfited by the Britaines. 82.20.","Alectus ſlaine, and his armie diſcomfited by the Britaines. 82.20."
Aldroenus,uncertain,0.45,mixed signals: used elsewhere as a personal name,A,102.41.,Aldroenus aideth the Britaines in great Britaine vpon condition. 102.41.,Aldroenus aideth the Britaines in great Britaine vpon con|dition. 102.41.
Alclud citie,place,0.92,place-type word in name; used elsewhere as a location,A,18.15.,"Alclud citie now decayed, builded. 18.15.","Alclud citie now decayed, buil|ded. 18.15."
Albion,person,0.68,biographical event,A,16.14.,Albion slaine by Heroul<?>s in Cassia. 16.14.,Albion ſlaine by Heroul<?>s in Caſſia. 16.14.
Alfred,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,232.52.,"Alfred, wife to king Edgar, departeth this life. 232.52.","Alfred, wife to king Edgar, de|parteth this life. 232.52."
Alfred,person,0.97,used elsewhere as a personal name; described by rank/office; kinship language,A,232.57.,"Alfred, daughter to Horgerius Duke of Cornewall a damsell of excellent beautie. 232.57.","Alfred, daughter to Horgerius Duke of Cornewall a dam|ſell of excellent beautie. 232.57."
Alfred,person,0.97,used elsewhere as a personal name; described by rank/office; biographical event,A,232.83.,Alfred married to Earle Ethelwold. 232.83.,Alfred married to Earle Ethel|wold. 232.83.
Alfred,person,0.97,used elsewhere as a personal name; described by rank/office,A,232.94.,"Alfred marryed to king Edgar, after the death of Ethelwold. 232.94.","Alfred marryed to king Edgar, after the death of Ethel|wold. 232.94."
Aldgitha,person,0.86,described by rank/office,A,291.35.,"Aldgitha Queene, sent away from London to Chester. 291.35.","Aldgitha Queene, ſent away from London to Cheſter. 291.35."
Aldred,person,0.95,described by rank/office; holds a title over a place,A,,"Aldred Archbyshop of Yorke, submitteth himselfe to king William. 291.56.","Aldred Archbyſhop of Yorke, ſubmitteth himſelfe to king William. 291.56."
Almaricus,uncertain,0.45,mixed signals: weak evidence,A,246.7.,"Almaricus a Deacon, betrayeth Canterburie to the Danes. 246.7.","Almaricus a Deacon, betray|eth Canterburie to the Danes. 246.7."
Alda,person,0.82,kinship language,A,132.17.,"Alda, sister to Vter Pendragon marryed to Conran kyng of Scots. 132.17.","Alda, ſiſter to Vter Pendragon marryed to Conran kyng of Scots. 132.17."
Alexander,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,A,825. lin. 54. b.,Alexander the .3. king of Scots doth homage to the king of England. 825. lin. 54. b.,Alexander the .3. king of Scots doth homage to the king of England. 825. lin. 54. b.
Albion,uncertain,0.45,mixed signals: weak evidence,A,8.70.,"Albion, not so called of Albina. 8.70.","Albion, not ſo called of Albina. 8.70."
Alnewicke castle,place,0.95,place-type word in name; used elsewhere as a location,A,324.64.,Alnewicke castle. 324.64.,Alnewicke caſtle. 324.64.
Allowãce,uncertain,0.45,mixed signals: described by rank/office,A,518.39.,"Allowãce for the king of Scots alwayes, at his comming vnto the Englishe court. 518.39.","Allowãce for the king of Scots alwayes, at his comming vn|to the Engliſhe court. 518.39."
Almaine Campe,group,0.85,collective / people-name,A,1696.10,Almaine Campe a fort yelded to the Frenchmen. 1696.10,Almaine Campe a fort yelded to the Frenchmen. 1696.10
Alphouse,person,0.97,described by rank/office; holds a title over a place; appointment to office,A,1440.30.,Alphouse Duke of Calabre chosen knight of the garter. 1440.30.,Alphouſe Duke of Calabre choſen knight of the garter. 1440.30.
Alexander,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,A,371.65.,"Alexander Byshop of Lincolne Nephew or sonne to Roger Byshop of Salisburie, committed to prison. 371.65.","Alexander Byſhop of Lincolne Nephew or ſonne to Roger Byſhop of Saliſburie, com|mitted to priſon. 371.65."
Albericke,person,0.86,described by rank/office,A,312.47.,"Albericke, made gouernour of Northumberland. 312.47.","Albericke, made gouernour of Northumberland. 312.47."
Alstane,person,0.91,described by rank/office; holds a title over a place,A,203.55.,"Alstane, Bishop of Sh<?>reburue, a wariour. 203.55.","Alſtane, Biſhop of Sh<?>reburue, a wariour. 203.55."
Aluredes kingdome,place,0.95,place-type word in name; used elsewhere as a location,A,214.110.,Aluredes kingdome bounded. 214.110.,Aluredes kingdome bounded. 214.110.
Alswaldes,person,0.96,used elsewhere as a personal name; kinship language; biographical event,A,201.34.,Alswaldes sonnes myserably slayne. 201.34.,Alſwaldes ſonnes myſerably ſlayne. 201.34.
Alsled,person,0.97,used elsewhere as a personal name; kinship language; biographical event,A,201.43.,"Alsled, daughter to Offa, married to K. Ethelhet. 201.43.","Alſled, daughter to Offa, mar|ried to K. Ethelhet. 201.43."
Aldermen,person,0.86,biographical event,A,1837.30.,"Aldermen seuen dyed within .x. monethes, 1837.30.","Aldermen ſeuen dyed within .x. monethes, 1837.30."
Albemarle castle,place,0.89,place-type word in name; used elsewhere as a location,A,524.47.,"Albemarle castle wonne by the Frenchmen, and ruinated flat to the ground. 524.47.","Albemarle caſtle wonne by the Frenchmen, and ruinated flat to the ground. 524.47."
Albert,person,0.93,described by rank/office; holds a title over a place,A,1438. 10. wynneth the towne of Scluse. ibidem.,Albert Duke of Saxon taketh Dam by sleight. 1438. 10. wynneth the towne of Scluse. ibidem.,Albert Duke of Saxon taketh Dam by ſleight. 1438. 10. wynneth the towne of Scluſe. ibidem.
Alfredes,uncertain,0.45,mixed signals: described by rank/office,A,237.59.,"Alfredes deede in procuring king Edwardes death, in no wise excusable. 237.59.","Alfredes deede in procuring king Edwardes death, in no wiſe excuſable. 237.59."
Alpher,uncertain,0.2,"proper name, but no clear signal",A,237.46.,"Alpher eaten to death with lice, 237.46.","Alpher eaten to death with lice, 237.46."
Aldemarle,person,0.84,kinship language,A,326.43.,Aldemarle Wyl. bastard sonne to Robert Earle of Northũberland. 326.43.,Aldemarle Wyl. baſtard ſonne to Robert Earle of Northũ|berland. 326.43.
Aldane Giles,person,0.87,given name in entry; used elsewhere as a personal name; described by rank/office; located within a named regio,A,352.21.,"Aldane Giles, consecrated Byshop of Saint Nynian in Scotland. 352.21.","Aldane Giles, conſecrated By|ſhop of Saint Nynian in Scotland. 352.21."
